Cell line primary name,Gender,Site Primary,Histology
C2BBe1,M,large_intestine,carcinoma
CCK-81,,large_intestine,carcinoma
CL-11,,large_intestine,carcinoma
CL-14,M,large_intestine,carcinoma
CL-34,F,large_intestine,carcinoma
CL-40,F,large_intestine,carcinoma
COLO 201,M,large_intestine,carcinoma
COLO 205,M,large_intestine,carcinoma
COLO-320,F,large_intestine,carcinoma
COLO-678,M,large_intestine,carcinoma
CW-2,,large_intestine,carcinoma
DLD-1,M,large_intestine,carcinoma
GP2d,F,large_intestine,carcinoma
HCC-56,,large_intestine,carcinoma
HCT 116,M,large_intestine,carcinoma
HCT-15,M,large_intestine,carcinoma
HCT-8,M,large_intestine,carcinoma
HRT-18,M,large_intestine,carcinoma
Hs 255.T,F,large_intestine,carcinoma
Hs 675.T,M,large_intestine,carcinoma
Hs 698.T,M,large_intestine,carcinoma
HT115,,large_intestine,carcinoma
HT-29,F,large_intestine,carcinoma
HT55,,large_intestine,carcinoma
KM12,,large_intestine,carcinoma
LoVo,M,large_intestine,carcinoma
LS1034,M,large_intestine,carcinoma
LS123,F,large_intestine,carcinoma
LS 180,F,large_intestine,carcinoma
LS411N,M,large_intestine,carcinoma
LS513,M,large_intestine,carcinoma
MDST8,,large_intestine,carcinoma
NCI-H508,M,large_intestine,carcinoma
NCI-H716,,large_intestine,carcinoma
NCI-H747,M,large_intestine,carcinoma
OUMS-23,,large_intestine,carcinoma
RCM-1,,large_intestine,carcinoma
RKO,,large_intestine,carcinoma
SK-CO-1,M,large_intestine,carcinoma
SNU-1033,F,large_intestine,carcinoma
SNU-1040,M,large_intestine,carcinoma
SNU-1197,M,large_intestine,carcinoma
SNU-175,F,large_intestine,carcinoma
SNU-283,F,large_intestine,carcinoma
SNU-407,M,large_intestine,carcinoma
SNU-503,M,large_intestine,carcinoma
SNU-61,M,large_intestine,carcinoma
SNU-81,M,large_intestine,carcinoma
SNU-C1,M,large_intestine,carcinoma
SNU-C2A,F,large_intestine,carcinoma
SNU-C4,M,large_intestine,carcinoma
SNU-C5,F,large_intestine,carcinoma
SW1116,M,large_intestine,carcinoma
SW1417,F,large_intestine,carcinoma
SW1463,F,large_intestine,carcinoma
SW403,F,large_intestine,carcinoma
SW480,M,large_intestine,carcinoma
SW48,F,large_intestine,carcinoma
SW620,M,large_intestine,carcinoma
SW837,M,large_intestine,carcinoma
SW948,F,large_intestine,carcinoma
T84,M,large_intestine,carcinoma
HuTu 80,,small_intestine,carcinoma
